lr=0.01 momentum=0.9
epoch 1: loss=3.4054167226985808
epoch 2: loss=2.751052731516668
epoch 3: loss=2.050866437894364
epoch 4: loss=1.9488303888560277
epoch 5: loss=1.3562034204993894
epoch 6: loss=1.8468657231233285
epoch 7: loss=2.1829290346508987
epoch 8: loss=1.910617216003549
epoch 9: loss=2.843386637253363
epoch 10: loss=1.9820100544644936
epoch 11: loss=2.398758157240239
epoch 12: loss=1.523303133948198
epoch 13: loss=2.3877460671864554
epoch 14: loss=2.7513649321981575
epoch 15: loss=1.989863313530825
epoch 16: loss=2.4622020978137558
epoch 17: loss=2.8976670319330387
epoch 18: loss=2.2632192798253077
epoch 19: loss=1.9607436276279038
epoch 20: loss=2.2854593812131663
epoch 21: loss=1.7763203345028078
epoch 22: loss=1.5990127445355744
epoch 23: loss=1.8385240205135633
epoch 24: loss=1.3170271095738393
epoch 25: loss=1.941611301380464
epoch 26: loss=1.984476229207063
epoch 27: loss=1.5926994217337436
epoch 28: loss=1.4635799885745688
epoch 29: loss=1.6825019830074661
epoch 30: loss=1.4351604670631686
epoch 31: loss=1.3098642214291945
epoch 32: loss=1.4125294027654447
epoch 33: loss=1.4003185309211714
epoch 34: loss=1.201455265185086
epoch 35: loss=1.1544598505387043
epoch 36: loss=1.170404330638759
epoch 37: loss=1.1383313570644742
epoch 38: loss=1.0208104643779121
epoch 39: loss=1.1275342878942887
epoch 40: loss=1.0352992108592316
epoch 41: loss=1.0126295849312152
epoch 42: loss=0.9622404271141507
epoch 43: loss=1.0095911337611945
epoch 44: loss=1.0005350327391072
epoch 45: loss=0.965655042934503
epoch 46: loss=0.9834997294077321
epoch 47: loss=0.9793729088091493
epoch 48: loss=0.9875091917072348
epoch 49: loss=0.9727867186303765
epoch 50: loss=0.951753460964641
epoch 51: loss=0.9407047054858926
epoch 52: loss=2.831023557704298
epoch 53: loss=2.5161123073274956
epoch 54: loss=1.4402299300310641
epoch 55: loss=1.874002103446053
epoch 56: loss=1.238240262849636
epoch 57: loss=2.069649362600968
epoch 58: loss=1.691969608560313
epoch 59: loss=2.023275217835298
epoch 60: loss=1.9818568220714434
epoch 61: loss=1.3725784559214527
epoch 62: loss=1.4531692949223494
epoch 63: loss=1.325370432465848
epoch 64: loss=1.3860416489636629
epoch 65: loss=1.4105801504522255
epoch 66: loss=1.7577924444407858
epoch 67: loss=1.5564028234620515
epoch 68: loss=1.3034134264685955
epoch 69: loss=1.2710156281388376
epoch 70: loss=1.0413718747873535
epoch 71: loss=1.278006235971654
epoch 72: loss=1.1314785283630235
epoch 73: loss=1.243003222491941
epoch 74: loss=1.2405284488088593
epoch 75: loss=0.9143886476195426
epoch 76: loss=0.9612746278292706
epoch 77: loss=0.8773349727510106
epoch 78: loss=0.9559104241674535
epoch 79: loss=0.9543555688276737
epoch 80: loss=0.9124307472254365
epoch 81: loss=0.8520320852875245
epoch 82: loss=0.9020428831392228
epoch 83: loss=0.7429638500808307
epoch 84: loss=0.7931677388795131
epoch 85: loss=0.8454552136430491
epoch 86: loss=0.8020375842721115
epoch 87: loss=0.8451394639226333
epoch 88: loss=0.7117918895392437
epoch 89: loss=0.771490727932111
epoch 90: loss=0.8157463313580966
epoch 91: loss=0.709969530668982
epoch 92: loss=0.6948016201698213
epoch 93: loss=0.7668807943228046
epoch 94: loss=0.6900804453319518
epoch 95: loss=0.7671457997083213
epoch 96: loss=0.682177635282178
epoch 97: loss=0.6896537147632334
epoch 98: loss=0.6891103837937245
epoch 99: loss=0.7196890424859319
epoch 100: loss=0.7100121965844005
