lr=0.01 momentum=0.9
epoch 1: loss=tensor([85.9063], device='cuda:2', dtype=torch.float64)
epoch 2: loss=tensor([72.7789], device='cuda:2', dtype=torch.float64)
epoch 3: loss=tensor([62.8356], device='cuda:2', dtype=torch.float64)
epoch 4: loss=tensor([59.3576], device='cuda:2', dtype=torch.float64)
epoch 5: loss=tensor([43.0013], device='cuda:2', dtype=torch.float64)
epoch 6: loss=tensor([38.4432], device='cuda:2', dtype=torch.float64)
epoch 7: loss=tensor([35.5119], device='cuda:2', dtype=torch.float64)
epoch 8: loss=tensor([31.2980], device='cuda:2', dtype=torch.float64)
epoch 9: loss=tensor([31.8090], device='cuda:2', dtype=torch.float64)
epoch 10: loss=tensor([31.7853], device='cuda:2', dtype=torch.float64)
epoch 11: loss=tensor([32.1815], device='cuda:2', dtype=torch.float64)
epoch 12: loss=tensor([27.8565], device='cuda:2', dtype=torch.float64)
epoch 13: loss=tensor([29.3335], device='cuda:2', dtype=torch.float64)
epoch 14: loss=tensor([26.0755], device='cuda:2', dtype=torch.float64)
epoch 15: loss=tensor([31.7725], device='cuda:2', dtype=torch.float64)
epoch 16: loss=tensor([24.9597], device='cuda:2', dtype=torch.float64)
epoch 17: loss=tensor([40.4285], device='cuda:2', dtype=torch.float64)
epoch 18: loss=tensor([39.2841], device='cuda:2', dtype=torch.float64)
epoch 19: loss=tensor([24.9044], device='cuda:2', dtype=torch.float64)
epoch 20: loss=tensor([30.9046], device='cuda:2', dtype=torch.float64)
epoch 21: loss=tensor([31.6611], device='cuda:2', dtype=torch.float64)
epoch 22: loss=tensor([28.0810], device='cuda:2', dtype=torch.float64)
epoch 23: loss=tensor([28.3721], device='cuda:2', dtype=torch.float64)
epoch 24: loss=tensor([28.9927], device='cuda:2', dtype=torch.float64)
epoch 25: loss=tensor([28.0418], device='cuda:2', dtype=torch.float64)
epoch 26: loss=tensor([25.9784], device='cuda:2', dtype=torch.float64)
epoch 27: loss=tensor([28.3127], device='cuda:2', dtype=torch.float64)
epoch 28: loss=tensor([28.0364], device='cuda:2', dtype=torch.float64)
