lr=0.01 momentum=0.9
epoch 1: loss=tensor([76.0190], device='cuda:1', dtype=torch.float64)
epoch 2: loss=tensor([70.8997], device='cuda:1', dtype=torch.float64)
epoch 3: loss=tensor([44.6300], device='cuda:1', dtype=torch.float64)
epoch 4: loss=tensor([259.0482], device='cuda:1', dtype=torch.float64)
epoch 5: loss=tensor([367.5887], device='cuda:1', dtype=torch.float64)
epoch 6: loss=tensor([102.3704], device='cuda:1', dtype=torch.float64)
epoch 7: loss=tensor([67.1317], device='cuda:1', dtype=torch.float64)
epoch 8: loss=tensor([67.5453], device='cuda:1', dtype=torch.float64)
epoch 9: loss=tensor([53.9614], device='cuda:1', dtype=torch.float64)
epoch 10: loss=tensor([41.9215], device='cuda:1', dtype=torch.float64)
epoch 11: loss=tensor([38.1730], device='cuda:1', dtype=torch.float64)
epoch 12: loss=tensor([39.4404], device='cuda:1', dtype=torch.float64)
epoch 13: loss=tensor([32.4792], device='cuda:1', dtype=torch.float64)
epoch 14: loss=tensor([38.2876], device='cuda:1', dtype=torch.float64)
epoch 15: loss=tensor([38.1217], device='cuda:1', dtype=torch.float64)
epoch 16: loss=tensor([32.1665], device='cuda:1', dtype=torch.float64)
epoch 17: loss=tensor([38.2415], device='cuda:1', dtype=torch.float64)
epoch 18: loss=tensor([41.7363], device='cuda:1', dtype=torch.float64)
epoch 19: loss=tensor([34.3207], device='cuda:1', dtype=torch.float64)
epoch 20: loss=tensor([29.0933], device='cuda:1', dtype=torch.float64)
epoch 21: loss=tensor([29.9550], device='cuda:1', dtype=torch.float64)
epoch 22: loss=tensor([28.6399], device='cuda:1', dtype=torch.float64)
epoch 23: loss=tensor([27.8997], device='cuda:1', dtype=torch.float64)
epoch 24: loss=tensor([28.3401], device='cuda:1', dtype=torch.float64)
epoch 25: loss=tensor([27.9541], device='cuda:1', dtype=torch.float64)
epoch 26: loss=tensor([27.2173], device='cuda:1', dtype=torch.float64)
epoch 27: loss=tensor([27.2589], device='cuda:1', dtype=torch.float64)
epoch 28: loss=tensor([26.6921], device='cuda:1', dtype=torch.float64)
epoch 29: loss=tensor([25.4145], device='cuda:1', dtype=torch.float64)
epoch 30: loss=tensor([25.6091], device='cuda:1', dtype=torch.float64)
epoch 31: loss=tensor([24.3079], device='cuda:1', dtype=torch.float64)
epoch 32: loss=tensor([23.2875], device='cuda:1', dtype=torch.float64)
epoch 33: loss=tensor([22.3521], device='cuda:1', dtype=torch.float64)
