lr=0.01 momentum=0.9
epoch 1: loss=tensor([16.5553], device='cuda:1', dtype=torch.float64)
epoch 2: loss=tensor([19.9004], device='cuda:1', dtype=torch.float64)
epoch 3: loss=tensor([21.8271], device='cuda:1', dtype=torch.float64)
epoch 4: loss=tensor([22.3027], device='cuda:1', dtype=torch.float64)
epoch 5: loss=tensor([22.8856], device='cuda:1', dtype=torch.float64)
epoch 6: loss=tensor([22.0533], device='cuda:1', dtype=torch.float64)
epoch 7: loss=tensor([22.6679], device='cuda:1', dtype=torch.float64)
epoch 8: loss=tensor([17.1132], device='cuda:1', dtype=torch.float64)
epoch 9: loss=tensor([21.2890], device='cuda:1', dtype=torch.float64)
epoch 10: loss=tensor([16.3791], device='cuda:1', dtype=torch.float64)
epoch 11: loss=tensor([16.8115], device='cuda:1', dtype=torch.float64)
epoch 12: loss=tensor([21.9245], device='cuda:1', dtype=torch.float64)
epoch 13: loss=tensor([21.5656], device='cuda:1', dtype=torch.float64)
epoch 14: loss=tensor([18.8646], device='cuda:1', dtype=torch.float64)
epoch 15: loss=tensor([17.3056], device='cuda:1', dtype=torch.float64)
epoch 16: loss=tensor([19.1993], device='cuda:1', dtype=torch.float64)
epoch 17: loss=tensor([20.1830], device='cuda:1', dtype=torch.float64)
epoch 18: loss=tensor([17.2000], device='cuda:1', dtype=torch.float64)
epoch 19: loss=tensor([16.2176], device='cuda:1', dtype=torch.float64)
epoch 20: loss=tensor([15.3935], device='cuda:1', dtype=torch.float64)
epoch 21: loss=tensor([19.5134], device='cuda:1', dtype=torch.float64)
epoch 22: loss=tensor([16.7749], device='cuda:1', dtype=torch.float64)
epoch 23: loss=tensor([17.5919], device='cuda:1', dtype=torch.float64)
epoch 24: loss=tensor([17.1657], device='cuda:1', dtype=torch.float64)
epoch 25: loss=tensor([16.5432], device='cuda:1', dtype=torch.float64)
epoch 26: loss=tensor([18.3442], device='cuda:1', dtype=torch.float64)
epoch 27: loss=tensor([19.7170], device='cuda:1', dtype=torch.float64)
epoch 28: loss=tensor([20.4597], device='cuda:1', dtype=torch.float64)
epoch 29: loss=tensor([20.8923], device='cuda:1', dtype=torch.float64)
epoch 30: loss=tensor([19.6404], device='cuda:1', dtype=torch.float64)
epoch 31: loss=tensor([18.7402], device='cuda:1', dtype=torch.float64)
epoch 32: loss=tensor([18.1905], device='cuda:1', dtype=torch.float64)
epoch 33: loss=tensor([15.9867], device='cuda:1', dtype=torch.float64)
epoch 34: loss=tensor([16.0216], device='cuda:1', dtype=torch.float64)
epoch 35: loss=tensor([14.9243], device='cuda:1', dtype=torch.float64)
epoch 36: loss=tensor([15.1857], device='cuda:1', dtype=torch.float64)
epoch 37: loss=tensor([15.0603], device='cuda:1', dtype=torch.float64)
epoch 38: loss=tensor([14.9043], device='cuda:1', dtype=torch.float64)
epoch 39: loss=tensor([14.5039], device='cuda:1', dtype=torch.float64)
epoch 40: loss=tensor([14.2824], device='cuda:1', dtype=torch.float64)
epoch 41: loss=tensor([14.0395], device='cuda:1', dtype=torch.float64)
epoch 42: loss=tensor([14.1799], device='cuda:1', dtype=torch.float64)
epoch 43: loss=tensor([14.1773], device='cuda:1', dtype=torch.float64)
epoch 44: loss=tensor([14.0662], device='cuda:1', dtype=torch.float64)
epoch 45: loss=tensor([16.7787], device='cuda:1', dtype=torch.float64)
epoch 46: loss=tensor([16.8725], device='cuda:1', dtype=torch.float64)
epoch 47: loss=tensor([13.9781], device='cuda:1', dtype=torch.float64)
epoch 48: loss=tensor([13.9737], device='cuda:1', dtype=torch.float64)
epoch 49: loss=tensor([13.8675], device='cuda:1', dtype=torch.float64)
epoch 50: loss=tensor([13.9339], device='cuda:1', dtype=torch.float64)
epoch 51: loss=tensor([13.7060], device='cuda:1', dtype=torch.float64)
epoch 52: loss=tensor([21.3464], device='cuda:1', dtype=torch.float64)
epoch 53: loss=tensor([26.5886], device='cuda:1', dtype=torch.float64)
epoch 54: loss=tensor([26.6286], device='cuda:1', dtype=torch.float64)
epoch 55: loss=tensor([27.5552], device='cuda:1', dtype=torch.float64)
epoch 56: loss=tensor([27.6562], device='cuda:1', dtype=torch.float64)
epoch 57: loss=tensor([22.9232], device='cuda:1', dtype=torch.float64)
epoch 58: loss=tensor([23.8737], device='cuda:1', dtype=torch.float64)
epoch 59: loss=tensor([23.6973], device='cuda:1', dtype=torch.float64)
epoch 60: loss=tensor([22.0609], device='cuda:1', dtype=torch.float64)
