lr=0.01 momentum=0.9
epoch 0: loss=tensor([24.7012], device='cuda:1', dtype=torch.float64)
epoch 1: loss=tensor([20.8952], device='cuda:1', dtype=torch.float64)
epoch 2: loss=tensor([13.2600], device='cuda:1', dtype=torch.float64)
epoch 3: loss=tensor([12.9662], device='cuda:1', dtype=torch.float64)
epoch 4: loss=tensor([11.5782], device='cuda:1', dtype=torch.float64)
epoch 5: loss=tensor([11.7306], device='cuda:1', dtype=torch.float64)
epoch 6: loss=tensor([11.4266], device='cuda:1', dtype=torch.float64)
epoch 7: loss=tensor([10.9711], device='cuda:1', dtype=torch.float64)
epoch 8: loss=tensor([11.2225], device='cuda:1', dtype=torch.float64)
epoch 9: loss=tensor([11.3023], device='cuda:1', dtype=torch.float64)
epoch 10: loss=tensor([11.0009], device='cuda:1', dtype=torch.float64)
epoch 11: loss=tensor([10.6887], device='cuda:1', dtype=torch.float64)
epoch 12: loss=tensor([10.6560], device='cuda:1', dtype=torch.float64)
epoch 13: loss=tensor([10.2309], device='cuda:1', dtype=torch.float64)
epoch 14: loss=tensor([10.5689], device='cuda:1', dtype=torch.float64)
epoch 15: loss=tensor([10.5850], device='cuda:1', dtype=torch.float64)
epoch 16: loss=tensor([10.2933], device='cuda:1', dtype=torch.float64)
epoch 17: loss=tensor([9.8592], device='cuda:1', dtype=torch.float64)
epoch 18: loss=tensor([9.8562], device='cuda:1', dtype=torch.float64)
epoch 19: loss=tensor([9.8510], device='cuda:1', dtype=torch.float64)
epoch 20: loss=tensor([9.6363], device='cuda:1', dtype=torch.float64)
epoch 21: loss=tensor([9.3029], device='cuda:1', dtype=torch.float64)
epoch 22: loss=tensor([9.2141], device='cuda:1', dtype=torch.float64)
epoch 23: loss=tensor([9.2244], device='cuda:1', dtype=torch.float64)
epoch 24: loss=tensor([9.3129], device='cuda:1', dtype=torch.float64)
epoch 25: loss=tensor([9.4190], device='cuda:1', dtype=torch.float64)
epoch 26: loss=tensor([9.0761], device='cuda:1', dtype=torch.float64)
epoch 27: loss=tensor([9.5809], device='cuda:1', dtype=torch.float64)
epoch 28: loss=tensor([9.5104], device='cuda:1', dtype=torch.float64)
epoch 29: loss=tensor([9.6061], device='cuda:1', dtype=torch.float64)
epoch 30: loss=tensor([9.8160], device='cuda:1', dtype=torch.float64)
epoch 31: loss=tensor([9.2992], device='cuda:1', dtype=torch.float64)
epoch 32: loss=tensor([9.2174], device='cuda:1', dtype=torch.float64)
epoch 33: loss=tensor([9.5721], device='cuda:1', dtype=torch.float64)
epoch 34: loss=tensor([9.5745], device='cuda:1', dtype=torch.float64)
epoch 35: loss=tensor([8.8721], device='cuda:1', dtype=torch.float64)
epoch 36: loss=tensor([8.8169], device='cuda:1', dtype=torch.float64)
epoch 37: loss=tensor([9.1356], device='cuda:1', dtype=torch.float64)
epoch 38: loss=tensor([8.9098], device='cuda:1', dtype=torch.float64)
epoch 39: loss=tensor([8.8067], device='cuda:1', dtype=torch.float64)
epoch 40: loss=tensor([8.7597], device='cuda:1', dtype=torch.float64)
epoch 41: loss=tensor([8.9487], device='cuda:1', dtype=torch.float64)
epoch 42: loss=tensor([8.9849], device='cuda:1', dtype=torch.float64)
epoch 43: loss=tensor([9.0732], device='cuda:1', dtype=torch.float64)
epoch 44: loss=tensor([8.8400], device='cuda:1', dtype=torch.float64)
epoch 45: loss=tensor([8.7052], device='cuda:1', dtype=torch.float64)
epoch 46: loss=tensor([8.9966], device='cuda:1', dtype=torch.float64)
epoch 47: loss=tensor([8.8044], device='cuda:1', dtype=torch.float64)
epoch 48: loss=tensor([9.0604], device='cuda:1', dtype=torch.float64)
epoch 49: loss=tensor([9.0858], device='cuda:1', dtype=torch.float64)
epoch 50: loss=tensor([8.6960], device='cuda:1', dtype=torch.float64)
epoch 51: loss=tensor([8.6926], device='cuda:1', dtype=torch.float64)
epoch 52: loss=tensor([8.8431], device='cuda:1', dtype=torch.float64)
epoch 53: loss=tensor([8.8336], device='cuda:1', dtype=torch.float64)
epoch 54: loss=tensor([8.8567], device='cuda:1', dtype=torch.float64)
epoch 55: loss=tensor([8.7666], device='cuda:1', dtype=torch.float64)
epoch 56: loss=tensor([8.6848], device='cuda:1', dtype=torch.float64)
epoch 57: loss=tensor([8.7612], device='cuda:1', dtype=torch.float64)
epoch 58: loss=tensor([8.6251], device='cuda:1', dtype=torch.float64)
epoch 59: loss=tensor([8.7046], device='cuda:1', dtype=torch.float64)
epoch 60: loss=tensor([8.8597], device='cuda:1', dtype=torch.float64)
epoch 61: loss=tensor([8.5617], device='cuda:1', dtype=torch.float64)
epoch 62: loss=tensor([8.5574], device='cuda:1', dtype=torch.float64)
epoch 63: loss=tensor([8.7149], device='cuda:1', dtype=torch.float64)
epoch 64: loss=tensor([8.7344], device='cuda:1', dtype=torch.float64)
epoch 65: loss=tensor([8.5425], device='cuda:1', dtype=torch.float64)
epoch 66: loss=tensor([8.5296], device='cuda:1', dtype=torch.float64)
epoch 67: loss=tensor([8.7503], device='cuda:1', dtype=torch.float64)
epoch 68: loss=tensor([8.7883], device='cuda:1', dtype=torch.float64)
epoch 69: loss=tensor([8.6555], device='cuda:1', dtype=torch.float64)
epoch 70: loss=tensor([8.6284], device='cuda:1', dtype=torch.float64)
