lr=0.01 momentum=0.9
epoch 179: loss=0.8573986347662281
epoch 180: loss=0.5394912103831248
epoch 181: loss=0.25646955840016517
epoch 182: loss=1.2121612476970332
epoch 183: loss=1.5033600231662299
epoch 184: loss=0.9168265900610972
epoch 185: loss=0.7083251608118654
epoch 186: loss=1.1086900354501128
epoch 187: loss=1.6435632600540735
epoch 188: loss=1.6162403304371828
epoch 189: loss=1.0542874595784388
epoch 190: loss=0.3518864754172657
epoch 191: loss=0.7020318544471887
epoch 192: loss=0.36522738671315874
epoch 193: loss=0.7971801383362134
epoch 194: loss=0.9725340000144651
epoch 195: loss=0.014668665836481014
epoch 196: loss=0.7266036154444946
epoch 197: loss=1.7330408828926789
epoch 198: loss=1.4170948149746132
epoch 199: loss=0.1703155345032447
epoch 200: loss=1.184841122479211
epoch 201: loss=1.8505909655901247
epoch 202: loss=1.8073535166311763
epoch 203: loss=1.2206687824914049
epoch 204: loss=-0.03133572620222897
epoch 205: loss=0.2774999452094916
epoch 206: loss=0.03295767928407341
epoch 207: loss=0.6182793250826775
epoch 208: loss=0.5379214435006457
epoch 209: loss=0.3922240499907343
epoch 210: loss=0.40584557767587337
epoch 211: loss=1.0684239807544158
epoch 212: loss=0.3346745120406885
epoch 213: loss=0.1431219961424435
epoch 214: loss=0.3713879036025853
epoch 215: loss=0.032243816782465295
epoch 216: loss=0.16473264481561883
epoch 217: loss=0.10667924672097359
epoch 218: loss=0.05079183745941045
epoch 219: loss=0.7647873557165982
epoch 220: loss=0.6419630155878684
epoch 221: loss=-0.01413688987478938
epoch 222: loss=0.38622668020049117
epoch 223: loss=0.7112865272617634
epoch 224: loss=0.6828020460576095
epoch 225: loss=0.1978048877079261
epoch 226: loss=0.512351827553665
epoch 227: loss=0.060494963125372024
epoch 228: loss=0.8082134658331536
epoch 229: loss=1.257676428681705
epoch 230: loss=0.8011755367025134
epoch 231: loss=0.3356260825734481
epoch 232: loss=0.24160695577184332
epoch 233: loss=0.40493233496752756
epoch 234: loss=0.8758147528167686
epoch 235: loss=1.2897231551182533
epoch 236: loss=0.9134001423438257
epoch 237: loss=0.18866982305657737
