lr=0.01 momentum=0.9
epoch 1: loss=tensor([49.7864], device='cuda:1', dtype=torch.float64)
epoch 2: loss=tensor([35.7450], device='cuda:1', dtype=torch.float64)
epoch 3: loss=tensor([23.4339], device='cuda:1', dtype=torch.float64)
epoch 4: loss=tensor([28.1707], device='cuda:1', dtype=torch.float64)
epoch 5: loss=tensor([23.4688], device='cuda:1', dtype=torch.float64)
epoch 6: loss=tensor([23.5708], device='cuda:1', dtype=torch.float64)
epoch 7: loss=tensor([23.1496], device='cuda:1', dtype=torch.float64)
epoch 8: loss=tensor([22.1200], device='cuda:1', dtype=torch.float64)
epoch 9: loss=tensor([22.5399], device='cuda:1', dtype=torch.float64)
epoch 10: loss=tensor([21.6456], device='cuda:1', dtype=torch.float64)
epoch 11: loss=tensor([21.8546], device='cuda:1', dtype=torch.float64)
epoch 12: loss=tensor([21.1590], device='cuda:1', dtype=torch.float64)
epoch 13: loss=tensor([20.8729], device='cuda:1', dtype=torch.float64)
epoch 14: loss=tensor([20.5244], device='cuda:1', dtype=torch.float64)
epoch 15: loss=tensor([20.4817], device='cuda:1', dtype=torch.float64)
epoch 16: loss=tensor([20.1042], device='cuda:1', dtype=torch.float64)
epoch 17: loss=tensor([19.0024], device='cuda:1', dtype=torch.float64)
epoch 18: loss=tensor([19.1601], device='cuda:1', dtype=torch.float64)
epoch 19: loss=tensor([18.6495], device='cuda:1', dtype=torch.float64)
epoch 20: loss=tensor([18.1409], device='cuda:1', dtype=torch.float64)
epoch 21: loss=tensor([17.9141], device='cuda:1', dtype=torch.float64)
epoch 22: loss=tensor([16.5418], device='cuda:1', dtype=torch.float64)
epoch 23: loss=tensor([17.6304], device='cuda:1', dtype=torch.float64)
epoch 24: loss=tensor([21.2950], device='cuda:1', dtype=torch.float64)
epoch 25: loss=tensor([22.5611], device='cuda:1', dtype=torch.float64)
epoch 26: loss=tensor([19.5664], device='cuda:1', dtype=torch.float64)
epoch 27: loss=tensor([18.6961], device='cuda:1', dtype=torch.float64)
epoch 28: loss=tensor([20.2049], device='cuda:1', dtype=torch.float64)
epoch 29: loss=tensor([18.6031], device='cuda:1', dtype=torch.float64)
epoch 30: loss=tensor([16.2902], device='cuda:1', dtype=torch.float64)
epoch 31: loss=tensor([16.6113], device='cuda:1', dtype=torch.float64)
epoch 32: loss=tensor([16.8021], device='cuda:1', dtype=torch.float64)
epoch 33: loss=tensor([16.6806], device='cuda:1', dtype=torch.float64)
epoch 34: loss=tensor([16.0538], device='cuda:1', dtype=torch.float64)
epoch 35: loss=tensor([15.3783], device='cuda:1', dtype=torch.float64)
