lr=0.01 momentum=0.9
epoch 87: loss=tensor([25.1440], device='cuda:1', dtype=torch.float64)
epoch 88: loss=tensor([24.0217], device='cuda:1', dtype=torch.float64)
epoch 89: loss=tensor([23.5726], device='cuda:1', dtype=torch.float64)
epoch 90: loss=tensor([24.3573], device='cuda:1', dtype=torch.float64)
epoch 91: loss=tensor([24.4529], device='cuda:1', dtype=torch.float64)
epoch 92: loss=tensor([23.4792], device='cuda:1', dtype=torch.float64)
epoch 93: loss=tensor([23.0388], device='cuda:1', dtype=torch.float64)
epoch 94: loss=tensor([24.5828], device='cuda:1', dtype=torch.float64)
epoch 95: loss=tensor([21.8187], device='cuda:1', dtype=torch.float64)
epoch 96: loss=tensor([22.2413], device='cuda:1', dtype=torch.float64)
epoch 97: loss=tensor([21.4972], device='cuda:1', dtype=torch.float64)
epoch 98: loss=tensor([21.9098], device='cuda:1', dtype=torch.float64)
epoch 99: loss=tensor([22.4266], device='cuda:1', dtype=torch.float64)
epoch 100: loss=tensor([21.5366], device='cuda:1', dtype=torch.float64)
epoch 101: loss=tensor([21.3791], device='cuda:1', dtype=torch.float64)
epoch 102: loss=tensor([30.8170], device='cuda:1', dtype=torch.float64)
epoch 103: loss=tensor([33.1215], device='cuda:1', dtype=torch.float64)
epoch 104: loss=tensor([33.5253], device='cuda:1', dtype=torch.float64)
epoch 105: loss=tensor([34.6084], device='cuda:1', dtype=torch.float64)
epoch 106: loss=tensor([30.9933], device='cuda:1', dtype=torch.float64)
epoch 107: loss=tensor([30.6488], device='cuda:1', dtype=torch.float64)
epoch 108: loss=tensor([28.9042], device='cuda:1', dtype=torch.float64)
epoch 109: loss=tensor([30.3625], device='cuda:1', dtype=torch.float64)
epoch 110: loss=tensor([27.0679], device='cuda:1', dtype=torch.float64)
epoch 111: loss=tensor([28.5112], device='cuda:1', dtype=torch.float64)
epoch 112: loss=tensor([26.0988], device='cuda:1', dtype=torch.float64)
epoch 113: loss=tensor([26.5106], device='cuda:1', dtype=torch.float64)
epoch 114: loss=tensor([22.8510], device='cuda:1', dtype=torch.float64)
epoch 115: loss=tensor([25.8169], device='cuda:1', dtype=torch.float64)
epoch 116: loss=tensor([21.4187], device='cuda:1', dtype=torch.float64)
epoch 117: loss=tensor([22.4416], device='cuda:1', dtype=torch.float64)
epoch 118: loss=tensor([21.1244], device='cuda:1', dtype=torch.float64)
epoch 119: loss=tensor([29.6598], device='cuda:1', dtype=torch.float64)
epoch 120: loss=tensor([31.6764], device='cuda:1', dtype=torch.float64)
epoch 121: loss=tensor([24.8136], device='cuda:1', dtype=torch.float64)
epoch 122: loss=tensor([34.3638], device='cuda:1', dtype=torch.float64)
epoch 123: loss=tensor([33.8002], device='cuda:1', dtype=torch.float64)
epoch 124: loss=tensor([28.5905], device='cuda:1', dtype=torch.float64)
epoch 125: loss=tensor([26.2556], device='cuda:1', dtype=torch.float64)
epoch 126: loss=tensor([27.5398], device='cuda:1', dtype=torch.float64)
epoch 127: loss=tensor([23.4967], device='cuda:1', dtype=torch.float64)
epoch 128: loss=tensor([25.2239], device='cuda:1', dtype=torch.float64)
epoch 129: loss=tensor([24.7220], device='cuda:1', dtype=torch.float64)
epoch 130: loss=tensor([21.8912], device='cuda:1', dtype=torch.float64)
epoch 131: loss=tensor([19.7796], device='cuda:1', dtype=torch.float64)
