lr=0.01 momentum=0.9
epoch 1: loss=6.345858196521015
epoch 2: loss=6.321636770617578
epoch 3: loss=6.274086404891095
epoch 4: loss=6.200533572305011
epoch 5: loss=6.109127888040105
epoch 6: loss=5.985563720717979
epoch 7: loss=5.823302830658259
epoch 8: loss=5.62660191111735
epoch 9: loss=5.382690560431047
epoch 10: loss=5.053541635864067
epoch 11: loss=4.6837103583980335
epoch 12: loss=4.274742670129291
epoch 13: loss=3.871027922444308
epoch 14: loss=3.5067215644440686
epoch 15: loss=3.266855121311871
epoch 16: loss=3.1712717217814967
epoch 17: loss=3.0794542153579805
epoch 18: loss=2.8934363889255503
epoch 19: loss=2.62942463388315
epoch 20: loss=2.238537094276721
epoch 21: loss=1.7213115859383297
epoch 22: loss=1.3854219557442538
epoch 23: loss=1.3793306593946115
epoch 24: loss=1.643842831570129
epoch 25: loss=1.777738629668432
epoch 26: loss=1.7319411194749073
epoch 27: loss=1.5726889206080197
epoch 28: loss=1.316235335206424
epoch 29: loss=1.1142005553672245
epoch 30: loss=1.2274955056449246
epoch 31: loss=1.372154168699672
epoch 32: loss=1.4553373062377981
epoch 33: loss=1.4552269724935503
epoch 34: loss=1.3871795706200054
epoch 35: loss=1.3157113014899642
epoch 36: loss=1.2098585231401753
epoch 37: loss=1.14626719851572
epoch 38: loss=1.1027799944358851
epoch 39: loss=1.0854473021847788
epoch 40: loss=1.0826449883199931
epoch 41: loss=1.081990673290014
epoch 42: loss=1.0894204632452418
epoch 43: loss=1.082066389119161
epoch 44: loss=1.0869734037820078
epoch 45: loss=1.0612611419399796
epoch 46: loss=1.0492775963710568
epoch 47: loss=1.0119410892101512
epoch 48: loss=1.021034608185577
epoch 49: loss=1.014599417858071
epoch 50: loss=1.0064702237349556
epoch 51: loss=1.0392284533270777
epoch 52: loss=1.0963530240648398
epoch 53: loss=1.2381908152549117
epoch 54: loss=1.1709288426057702
epoch 55: loss=0.9821366875299773
epoch 56: loss=0.8866352742385218
epoch 57: loss=0.9201446932413856
epoch 58: loss=0.8577242460231456
epoch 59: loss=1.0718432220289689
epoch 60: loss=1.072204652826236
epoch 61: loss=1.0477445288223273
epoch 62: loss=0.9978756121191761
epoch 63: loss=0.9479946550999161
epoch 64: loss=0.9283104311178607
epoch 65: loss=0.8763896360661294
epoch 66: loss=0.8402306502439139
epoch 67: loss=0.8169672594719031
epoch 68: loss=0.7692328600939081
epoch 69: loss=0.7213464040690437
epoch 70: loss=0.688197471451721
epoch 71: loss=0.6343431155176825
epoch 72: loss=0.5886183536387033
epoch 73: loss=0.8056271466871099
epoch 74: loss=0.7655779549936756
epoch 75: loss=0.5780810615960836
epoch 76: loss=0.5566878314340987
epoch 77: loss=0.543049851067088
epoch 78: loss=0.528475031259264
epoch 79: loss=0.5254970451104497
