lr=0.01 momentum=0.9
epoch 86: loss=tensor([7.1771], device='cuda:1', dtype=torch.float64)
epoch 87: loss=tensor([7.1061], device='cuda:1', dtype=torch.float64)
epoch 88: loss=tensor([7.0911], device='cuda:1', dtype=torch.float64)
epoch 89: loss=tensor([6.8442], device='cuda:1', dtype=torch.float64)
epoch 90: loss=tensor([6.8833], device='cuda:1', dtype=torch.float64)
epoch 91: loss=tensor([6.8042], device='cuda:1', dtype=torch.float64)
epoch 92: loss=tensor([6.8328], device='cuda:1', dtype=torch.float64)
epoch 93: loss=tensor([7.3696], device='cuda:1', dtype=torch.float64)
epoch 94: loss=tensor([7.3878], device='cuda:1', dtype=torch.float64)
epoch 95: loss=tensor([7.4261], device='cuda:1', dtype=torch.float64)
epoch 96: loss=tensor([7.4122], device='cuda:1', dtype=torch.float64)
epoch 97: loss=tensor([7.4443], device='cuda:1', dtype=torch.float64)
epoch 98: loss=tensor([7.0862], device='cuda:1', dtype=torch.float64)
epoch 99: loss=tensor([7.3008], device='cuda:1', dtype=torch.float64)
epoch 100: loss=tensor([7.5678], device='cuda:1', dtype=torch.float64)
epoch 101: loss=tensor([8.3231], device='cuda:1', dtype=torch.float64)
epoch 102: loss=tensor([9.2301], device='cuda:1', dtype=torch.float64)
epoch 103: loss=tensor([9.8956], device='cuda:1', dtype=torch.float64)
epoch 104: loss=tensor([10.1660], device='cuda:1', dtype=torch.float64)
epoch 105: loss=tensor([9.8875], device='cuda:1', dtype=torch.float64)
epoch 106: loss=tensor([9.8341], device='cuda:1', dtype=torch.float64)
epoch 107: loss=tensor([9.4107], device='cuda:1', dtype=torch.float64)
epoch 108: loss=tensor([8.5789], device='cuda:1', dtype=torch.float64)
epoch 109: loss=tensor([8.4536], device='cuda:1', dtype=torch.float64)
epoch 110: loss=tensor([8.5948], device='cuda:1', dtype=torch.float64)
epoch 111: loss=tensor([11.8987], device='cuda:1', dtype=torch.float64)
epoch 112: loss=tensor([12.4695], device='cuda:1', dtype=torch.float64)
epoch 113: loss=tensor([12.6029], device='cuda:1', dtype=torch.float64)
epoch 114: loss=tensor([12.9034], device='cuda:1', dtype=torch.float64)
epoch 115: loss=tensor([11.0908], device='cuda:1', dtype=torch.float64)
epoch 116: loss=tensor([8.7105], device='cuda:1', dtype=torch.float64)
epoch 117: loss=tensor([14.0217], device='cuda:1', dtype=torch.float64)
epoch 118: loss=tensor([16.4110], device='cuda:1', dtype=torch.float64)
epoch 119: loss=tensor([14.8511], device='cuda:1', dtype=torch.float64)
epoch 120: loss=tensor([12.7351], device='cuda:1', dtype=torch.float64)
epoch 121: loss=tensor([8.7323], device='cuda:1', dtype=torch.float64)
epoch 122: loss=tensor([9.2528], device='cuda:1', dtype=torch.float64)
epoch 123: loss=tensor([9.2148], device='cuda:1', dtype=torch.float64)
epoch 124: loss=tensor([7.8575], device='cuda:1', dtype=torch.float64)
epoch 125: loss=tensor([7.6193], device='cuda:1', dtype=torch.float64)
epoch 126: loss=tensor([8.5127], device='cuda:1', dtype=torch.float64)
epoch 127: loss=tensor([8.2795], device='cuda:1', dtype=torch.float64)
epoch 128: loss=tensor([8.2206], device='cuda:1', dtype=torch.float64)
epoch 129: loss=tensor([7.8703], device='cuda:1', dtype=torch.float64)
epoch 130: loss=tensor([8.0099], device='cuda:1', dtype=torch.float64)
epoch 131: loss=tensor([8.1101], device='cuda:1', dtype=torch.float64)
epoch 132: loss=tensor([8.6348], device='cuda:1', dtype=torch.float64)
epoch 133: loss=tensor([7.7666], device='cuda:1', dtype=torch.float64)
epoch 134: loss=tensor([7.6264], device='cuda:1', dtype=torch.float64)
epoch 135: loss=tensor([8.1702], device='cuda:1', dtype=torch.float64)
epoch 136: loss=tensor([8.1984], device='cuda:1', dtype=torch.float64)
